Hybridization REF	GSM115896	GSM115897	GSM115898	GSM115899	GSM115900	GSM115901
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-b-ActinMur/M12481_M_at	5.20E-05	5.20E-05	0.000195	4.40E-05	5.20E-05	0.001101
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-r2-Bs-dap-3_at	0.72583	0.870361	0.953857	0.753906	0.5	0.525391
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-r2-Bs-dap-5_at	0.943848	0.828613	0.171387	0.932373	0.981445	0.999756
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-r2-Bs-dap-M_at	0.592041	0.929199	0.845215	0.246094	0.828613	0.77417
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-r2-Bs-lys-3_at	0.828613	0.129639	0.567627	0.149658	0.165771	0.171387
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-r2-Bs-lys-5_at	0.962402	0.696289	0.780518	0.780518	0.962402	0.884033
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-r2-Bs-lys-M_at	0.962402	0.805908	0.80542	0.533936	0.634033	0.884033
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-r2-Bs-phe-3_at	0.657715	0.533936	0.601074	0.80542	0.111572	0.601074
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-r2-Bs-phe-5_at	0.188477	0.525391	0.601074	0.303711	0.334473	0.171387
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-r2-Bs-phe-M_at	0.80542	0.753906	0.900635	0.904785	0.533936	0.953857
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-r2-Bs-thr-3_s_at	0.046143	0.5	0.72583	0.5	0.919434	0.901123
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-r2-Bs-thr-5_s_at	0.567627	0.753906	0.688721	0.665527	0.962402	0.829346
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-r2-Bs-thr-M_s_at	0.567627	0.303711	0.171387	0.633789	0.943848	0.27417
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-r2-Ec-bioB-3_at	0.000244	0.000244	0.000244	0.000244	0.000244	0.000244
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-r2-Ec-bioB-5_at	0.000244	0.001953	0.000244	0.000244	0.000244	0.000732
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-r2-Ec-bioB-M_at	0.000244	0.000244	0.000244	0.000244	0.000244	0.000244
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-r2-Ec-bioC-3_at	0.000244	0.000244	0.000244	0.000244	0.000244	0.000244
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-r2-Ec-bioC-5_at	0.000244	0.000244	0.000244	0.000244	0.000244	0.000244
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-r2-Ec-bioD-3_at	0.000244	0.000244	0.000244	0.000244	0.000244	0.000244
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-r2-Ec-bioD-5_at	0.000244	0.000244	0.000244	0.000244	0.000244	0.000244
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-r2-P1-cre-3_at	0.000244	0.000244	0.000244	0.000244	0.000244	0.000244
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-r2-P1-cre-5_at	0.000244	0.000244	0.000244	0.000244	0.000244	0.000244
Affymetrix:CompositeSequence:Mouse430A_2:1415670_at	0.000244	0.000244	0.067627	0.000244	0.00293	0.000244
Affymetrix:CompositeSequence:Mouse430A_2:1415671_at	0.149658	0.005859	0.592285	0.046143	0.171387	0.601074
Affymetrix:CompositeSequence:Mouse430A_2:1415672_at	0.008057	0.01416	0.030273	0.000244	0.013184	0.030273
Affymetrix:CompositeSequence:Mouse430A_2:1415673_at	0.056152	0.030273	0.219482	0.111572	0.056152	0.111572
Affymetrix:CompositeSequence:Mouse430A_2:1415674_a_at	0.010742	0.018555	0.246094	0.219482	0.129639	0.149658
Affymetrix:CompositeSequence:Mouse430A_2:1415675_at	0.00293	0.037598	0.334473	0.056152	0.046143	0.046143
Affymetrix:CompositeSequence:Mouse430A_2:1415676_a_at	0.000244	0.010742	0.018555	0.000244	0.000732	0.01416
Affymetrix:CompositeSequence:Mouse430A_2:1415677_at	0.000732	0.067627	0.366211	0.246094	0.000732	0.001953
Affymetrix:CompositeSequence:Mouse430A_2:1415678_at	0.023926	0.095215	0.239014	0.129639	0.246094	0.056152
Affymetrix:CompositeSequence:Mouse430A_2:1415679_at	0.000244	0.001221	0.000732	0.001221	0.010742	0.000732
Affymetrix:CompositeSequence:Mouse430A_2:1415680_at	0.000732	0.01416	0.005859	0.018555	0.010742	0.005859
Affymetrix:CompositeSequence:Mouse430A_2:1415681_at	0.056152	0.80542	0.010742	0.095215	0.491699	0.080566
Affymetrix:CompositeSequence:Mouse430A_2:1415682_at	0.111572	0.095215	0.567627	0.010742	0.091553	0.00293
Affymetrix:CompositeSequence:Mouse430A_2:1415683_at	0.000244	0.000244	0.000732	0.000244	0.000244	0.000244
Affymetrix:CompositeSequence:Mouse430A_2:1415684_at	0.72583	0.018555	0.696289	0.633789	0.389893	0.633789
Affymetrix:CompositeSequence:Mouse430A_2:1415685_at	0.00293	0.005859	0.00415	0.001221	0.095215	0.067627
Affymetrix:CompositeSequence:Mouse430A_2:1415686_at	0.00293	0.000732	0.144043	0.037598	0.095215	0.000732
Affymetrix:CompositeSequence:Mouse430A_2:1415687_a_at	0.000732	0.043701	0.008057	0.000732	0.00415	0.000732
Affymetrix:CompositeSequence:Mouse430A_2:1415688_at	0.000244	0.000244	0.067627	0.030273	0.129639	0.129639
Affymetrix:CompositeSequence:Mouse430A_2:1415689_s_at	0.000244	0.001221	0.000732	0.000244	0.001953	0.001953
Affymetrix:CompositeSequence:Mouse430A_2:1415690_at	0.129639	0.219482	0.942139	0.696289	0.717773	0.976074
Affymetrix:CompositeSequence:Mouse430A_2:1415691_at	0.000244	0.000244	0.000732	0.001221	0.001953	0.000732
Affymetrix:CompositeSequence:Mouse430A_2:1415692_s_at	0.000244	0.000244	0.010742	0.000244	0.001221	0.000244
Affymetrix:CompositeSequence:Mouse430A_2:1415693_at	0.00293	0.010742	0.018555	0.00415	0.246094	0.000244
Affymetrix:CompositeSequence:Mouse430A_2:1415694_at	0.27417	0.246094	0.219482	0.067627	0.19458	0.334473
Affymetrix:CompositeSequence:Mouse430A_2:1415695_at	0.000244	0.000244	0.001221	0.000244	0.000244	0.000244
Affymetrix:CompositeSequence:Mouse430A_2:1415696_at	0.010742	0.007324	0.001953	0.000732	0.080566	0.000732
Affymetrix:CompositeSequence:Mouse430A_2:1415697_at	0.037598	0.001953	0.018555	0.080566	0.080566	0.01416
Affymetrix:CompositeSequence:Mouse430A_2:1415698_at	0.000244	0.00415	0.001953	0.067627	0.01416	0.5
Affymetrix:CompositeSequence:Mouse430A_2:1415699_a_at	0.001221	0.000244	0.001953	0.000244	0.000244	0.018555
Affymetrix:CompositeSequence:Mouse430A_2:1415700_a_at	0.001221	0.000244	0.01416	0.001221	0.030273	0.00293
Affymetrix:CompositeSequence:Mouse430A_2:1415701_x_at	0.000244	0.000244	0.000244	0.000244	0.000244	0.000244
Affymetrix:CompositeSequence:Mouse430A_2:1415702_a_at	0.01416	0.001953	0.01416	0.005859	0.010742	0.000244
Affymetrix:CompositeSequence:Mouse430A_2:1415703_at	0.000244	0.001221	0.000732	0.000244	0.000732	0.000732
Affymetrix:CompositeSequence:Mouse430A_2:1415704_a_at	0.005859	0.023926	0.010742	0.037598	0.008057	0.000732
Affymetrix:CompositeSequence:Mouse430A_2:1415705_at	0.023926	0.095215	0.008057	0.001953	0.030273	0.008057
Affymetrix:CompositeSequence:Mouse430A_2:1415706_at	0.000244	0.000244	0.171387	0.00415	0.056152	0.000732
Affymetrix:CompositeSequence:Mouse430A_2:1415707_at	0.080566	0.067627	0.953857	0.303711	0.828613	0.665527
Affymetrix:CompositeSequence:Mouse430A_2:1415708_at	0.000244	0.001953	0.001953	0.000732	0.000732	0.000244
Affymetrix:CompositeSequence:Mouse430A_2:1415709_s_at	0.398926	0.219482	0.888428	0.753906	0.943848	0.665527
Affymetrix:CompositeSequence:Mouse430A_2:1415710_at	0.366211	0.246094	0.398926	0.246094	0.080566	0.366211
Affymetrix:CompositeSequence:Mouse430A_2:1415711_at	0.008057	0.008057	0.056152	0.037598	0.00293	0.010742
Affymetrix:CompositeSequence:Mouse430A_2:1415712_at	0.01416	0.046143	0.171387	0.219482	0.080566	0.067627
Affymetrix:CompositeSequence:Mouse430A_2:1415713_a_at	0.219482	0.01416	0.023926	0.129639	0.067627	0.01416
Affymetrix:CompositeSequence:Mouse430A_2:1415714_a_at	0.010742	0.000244	0.26709	0.013184	0.005859	0.010742
Affymetrix:CompositeSequence:Mouse430A_2:1415715_at	0.366211	0.601074	0.246094	0.633789	0.919434	0.432373
Affymetrix:CompositeSequence:Mouse430A_2:1415716_a_at	0.001221	0.001953	0.00415	0.008057	0.008057	0.005859
Affymetrix:CompositeSequence:Mouse430A_2:1415717_at	0.466064	0.27417	0.72583	0.080566	0.753906	0.27417
Affymetrix:CompositeSequence:Mouse430A_2:1415718_at	0.018555	0.000732	0.067627	0.023926	0.129639	0.246094
Affymetrix:CompositeSequence:Mouse430A_2:1415719_s_at	0.129639	0.095215	0.111572	0.111572	0.037598	0.080566
Affymetrix:CompositeSequence:Mouse430A_2:1415720_s_at	0.056152	0.171387	0.334473	0.023926	0.067627	0.095215
Affymetrix:CompositeSequence:Mouse430A_2:1415721_a_at	0.023926	0.129639	0.01416	0.023926	0.056152	0.030273
Affymetrix:CompositeSequence:Mouse430A_2:1415722_a_at	0.005859	0.000732	0.010742	0.01416	0.00415	0.001953
Affymetrix:CompositeSequence:Mouse430A_2:1415723_at	0.000244	0.000244	0.000244	0.000244	0.000244	0.000244
Affymetrix:CompositeSequence:Mouse430A_2:1415724_a_at	0.000732	0.000732	0.00415	0.000732	0.001221	0.00293
Affymetrix:CompositeSequence:Mouse430A_2:1415725_at	0.01416	0.030273	0.037598	0.037598	0.001221	0.008057
Affymetrix:CompositeSequence:Mouse430A_2:1415726_at	0.001953	0.000732	0.008057	0.008057	0.030273	0.037598
Affymetrix:CompositeSequence:Mouse430A_2:1415727_at	0.000732	0.023926	0.046143	0.000244	0.000732	0.001221
Affymetrix:CompositeSequence:Mouse430A_2:1415728_at	0.129639	0.022461	0.19458	0.491699	0.111572	0.129639
Affymetrix:CompositeSequence:Mouse430A_2:1415729_at	0.129639	0.046143	0.246094	0.149658	0.046143	0.095215
Affymetrix:CompositeSequence:Mouse430A_2:1415730_at	0.000244	0.000244	0.000244	0.000244	0.018555	0.000244
