Hybridization REF	GSM115896	GSM115897	GSM115898	GSM115899	GSM115900	GSM115901
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-r2-Bs-lys-5_at	33.8	174.9	443.5	460.3	181.9	28.3
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-r2-Bs-lys-M_at	40.9	78.7	80.9	389.9	165.1	75.7
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-r2-Bs-phe-3_at	69.3	394.1	298.6	203.3	2115.7	246.5
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-r2-Bs-phe-5_at	757.5	335.6	554.4	1323.5	660.8	641.5
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-r2-Bs-phe-M_at	252.9	308.1	89.4	27.3	719.4	34.8
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-r2-Bs-thr-3_s_at	997.2	105.7	541.7	438.2	65.9	71.6
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-r2-Bs-thr-5_s_at	488	28.9	486.9	191.3	31.8	115.8
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-r2-Bs-thr-M_s_at	482.8	653.6	2306.6	140.3	156.1	1851.2
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-r2-Ec-bioB-3_at	72624.5	52671	111467.7	97647.8	162483	114905.1
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-r2-Ec-bioB-5_at	37803.8	21953.8	50899.8	49030.7	51574.4	53133.5
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-r2-Ec-bioB-M_at	48866.9	40362.5	62058	71183.4	70855.4	77563.6
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-r2-Ec-bioC-3_at	119664	111813.8	136398.4	166263.6	149027.4	204039.7
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-r2-Ec-bioC-5_at	157395.6	151322.7	231828.8	221709.8	203727.8	220822.8
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-r2-Ec-bioD-3_at	546385.5	556412.8	662205.5	752167.6	872608	1041584.6
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-r2-Ec-bioD-5_at	499835.2	534468.3	604519.7	645330.9	751083.6	820670.3
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-r2-P1-cre-3_at	1513621.6	1738919.6	1633322.5	1872141	2385862.3	2354210.3
Affymetrix:CompositeSequence:Mouse430A_2:AFFX-r2-P1-cre-5_at	1238213.6	1436486.3	1429550.4	1701800	1730429.3	2225280.8
Affymetrix:CompositeSequence:Mouse430A_2:1415670_at	8019.2	6195.6	3883.5	6546.1	6309.6	7321.7
Affymetrix:CompositeSequence:Mouse430A_2:1415671_at	2709.8	2647.7	329.9	1736.8	3503.7	220.1
Affymetrix:CompositeSequence:Mouse430A_2:1415672_at	3500.4	1631.5	2440.3	3958	4852.6	2442.1
Affymetrix:CompositeSequence:Mouse430A_2:1415673_at	4920.5	6968.8	3186.7	2343.6	3600.8	2579
Affymetrix:CompositeSequence:Mouse430A_2:1415674_a_at	5659.1	5804.2	4395.5	1832.4	8374.8	2411.3
Affymetrix:CompositeSequence:Mouse430A_2:1415675_at	15274.7	6719.5	2077.1	10004.1	9068.9	7465
Affymetrix:CompositeSequence:Mouse430A_2:1415676_a_at	14931.1	5705	7403.1	9230.8	10084.6	6330.2
Affymetrix:CompositeSequence:Mouse430A_2:1415677_at	6178.7	2355	1762.5	1025.5	5594	4890.6
Affymetrix:CompositeSequence:Mouse430A_2:1415678_at	20314.1	7162.7	7397.1	10112.1	6904.4	5712
Affymetrix:CompositeSequence:Mouse430A_2:1415679_at	6808.4	7408.8	14207.2	8051.5	8790.9	9402.2
Affymetrix:CompositeSequence:Mouse430A_2:1415680_at	5127.9	7330.6	13617.7	9512.5	4854.4	7678.5
Affymetrix:CompositeSequence:Mouse430A_2:1415681_at	1261.7	184.5	5605.3	4365.8	1255.1	3731.9
Affymetrix:CompositeSequence:Mouse430A_2:1415682_at	2004.5	1358.1	830.3	2203.2	2855.8	1700.2
Affymetrix:CompositeSequence:Mouse430A_2:1415683_at	6836	13737.3	6496.3	8781.9	11422.3	9760
Affymetrix:CompositeSequence:Mouse430A_2:1415684_at	411	763	480.4	550	44.5	231.9
Affymetrix:CompositeSequence:Mouse430A_2:1415685_at	1752.5	5311	6852.4	11661.2	3056	2135.6
Affymetrix:CompositeSequence:Mouse430A_2:1415686_at	2728.3	2754	930.6	2389.7	4711.6	3462.3
Affymetrix:CompositeSequence:Mouse430A_2:1415687_a_at	8031.5	3253.2	7028.7	9249.2	6588.2	9833.3
Affymetrix:CompositeSequence:Mouse430A_2:1415688_at	4047.2	3541.9	2303	4067.6	2325.8	2221.8
Affymetrix:CompositeSequence:Mouse430A_2:1415689_s_at	10699.6	6343.3	20071.8	12892.4	6669.1	4134.7
Affymetrix:CompositeSequence:Mouse430A_2:1415690_at	1044.3	1324.6	119.8	615.9	104.1	32.3
Affymetrix:CompositeSequence:Mouse430A_2:1415691_at	4807	5093.6	9968.5	5474.9	4940.2	12740.3
Affymetrix:CompositeSequence:Mouse430A_2:1415692_s_at	20175	13811.6	16615.5	13676.3	19872.4	24005.5
Affymetrix:CompositeSequence:Mouse430A_2:1415693_at	2640.3	8323.6	3653	2122.9	2550.6	6900.9
